 ,Mean,Min,Max,Slice,microns
1,693,0,2015,1,0
2,770,0,3205,2,1
3,724,0,3724,3,2
4,760,0,3619,4,3
5,652,0,4022,5,4
6,727,0,4346,6,5
7,795,0,4737,7,6
8,756,0,3922,8,7
9,557,0,3522,9,8
10,746,0,4153,10,9
11,620,0,4057,11,10
12,750,0,5043,12,11
13,653,0,5099,13,12
14,727,0,5163,14,13
15,729,0,3879,15,14
16,677,0,5105,16,15
17,734,0,5606,17,16
18,819,0,7680,18,17
19,858,0,6816,19,18
20,745,0,3646,20,19
21,709,0,3498,21,20
22,747,0,3769,22,21
23,646,0,3168,23,22
24,664,0,3937,24,23
25,738,0,5570,25,24
26,785,0,5562,26,25
27,825,0,3901,27,26
28,696,0,3550,28,27
29,703,0,2841,29,28
30,707,0,3420,30,29
31,783,0,5147,31,30
32,763,0,6429,32,31
33,777,0,4471,33,32
34,660,0,4011,34,33
35,746,0,3880,35,34
36,695,0,3583,36,35
37,773,0,4544,37,36
38,733,0,4043,38,37
39,749,0,3821,39,38
40,750,0,4337,40,39
