 ,Mean,Min,Max,Slice,microns
1,357,193,532,1,0
2,347,240,506,2,1
3,347,242,472,3,2
4,350,228,512,4,3
5,345,237,512,5,4
6,350,232,510,6,5
7,364,242,536,7,6
8,371,221,578,8,7
9,372,243,598,9,8
10,364,207,574,10,9
11,359,224,552,11,10
12,358,208,539,12,11
13,360,246,529,13,12
14,357,222,537,14,13
15,365,235,514,15,14
16,364,261,556,16,15
17,364,209,508,17,16
18,368,229,562,18,17
19,369,241,547,19,18
20,368,241,499,20,19
21,392,229,633,21,20
22,411,253,798,22,21
23,435,263,955,23,22
24,440,247,1046,24,23
25,456,249,1092,25,24
26,467,250,1151,26,25
27,471,236,1307,27,26
28,468,258,1133,28,27
29,471,259,1066,29,28
30,468,256,1217,30,29
31,460,249,1104,31,30
32,441,246,1049,32,31
33,416,236,828,33,32
34,411,261,907,34,33
35,393,229,739,35,34
36,396,244,673,36,35
37,393,245,708,37,36
38,396,246,685,38,37
39,381,248,579,39,38
40,385,233,579,40,39
41,380,235,565,41,40
42,389,267,656,42,41
43,399,218,686,43,42
44,396,261,699,44,43
45,416,264,805,45,44
46,418,250,890,46,45
47,440,255,919,47,46
48,453,252,973,48,47
49,471,250,1158,49,48
50,489,252,1175,50,49
51,483,266,1298,51,50
52,486,254,1352,52,51
53,477,273,1198,53,52
54,487,216,1231,54,53
55,502,242,1277,55,54
56,483,263,1273,56,55
57,473,268,1197,57,56
58,456,253,1092,58,57
59,441,283,1000,59,58
60,420,257,884,60,59
61,419,268,908,61,60
62,417,244,962,62,61
63,413,240,736,63,62
64,431,279,937,64,63
65,427,238,782,65,64
66,440,266,906,66,65
67,444,277,940,67,66
68,451,251,922,68,67
69,445,275,937,69,68
70,442,281,828,70,69
71,436,253,755,71,70
72,434,245,828,72,71
73,450,247,919,73,72
74,450,257,969,74,73
75,442,274,902,75,74
76,435,270,795,76,75
77,449,240,884,77,76
78,469,240,1016,78,77
79,489,257,1213,79,78
80,500,261,1341,80,79
81,495,260,1161,81,80
82,513,274,1366,82,81
83,523,278,1399,83,82
84,543,275,1493,84,83
85,534,277,1383,85,84
86,537,270,1318,86,85
87,541,273,1207,87,86
88,535,281,1322,88,87
89,547,266,1264,89,88
90,541,275,1318,90,89
91,523,269,1319,91,90
92,524,273,1382,92,91
93,500,277,1262,93,92
94,484,264,1147,94,93
95,474,273,1062,95,94
96,449,260,977,96,95
97,431,274,910,97,96
98,413,253,734,98,97
99,407,253,675,99,98
100,402,236,596,100,99
101,410,236,720,101,100
102,421,269,776,102,101
103,416,258,909,103,102
104,419,255,763,104,103
105,423,263,874,105,104
106,453,249,957,106,105
107,471,265,1028,107,106
108,473,280,1064,108,107
109,494,276,1176,109,108
110,496,273,1103,110,109
111,511,246,1305,111,110
112,515,245,1278,112,111
113,519,295,1359,113,112
114,504,247,1332,114,113
115,494,262,1076,115,114
116,449,285,899,116,115
117,423,264,753,117,116
118,428,281,733,118,117
119,409,284,644,119,118
120,407,255,578,120,119
121,399,246,601,121,120
122,398,252,576,122,121
123,384,260,568,123,122
124,400,244,654,124,123
125,405,254,625,125,124
126,406,259,619,126,125
127,415,248,668,127,126
128,440,274,802,128,127
129,449,253,920,129,128
130,455,264,916,130,129
131,485,243,1119,131,130
132,477,282,985,132,131
133,483,290,1198,133,132
134,490,268,1221,134,133
135,489,304,1181,135,134
136,482,265,1227,136,135
137,472,268,1058,137,136
138,461,264,1069,138,137
139,451,254,843,139,138
140,443,266,901,140,139
141,441,295,888,141,140
142,428,241,790,142,141
143,429,261,802,143,142
144,427,273,751,144,143
145,442,262,934,145,144
146,431,246,746,146,145
147,441,281,867,147,146
148,437,237,827,148,147
149,441,246,776,149,148
150,436,290,784,150,149
151,448,272,786,151,150
152,458,280,831,152,151
153,481,266,1011,153,152
154,483,267,920,154,153
155,485,272,1196,155,154
156,482,282,1074,156,155
157,496,296,1247,157,156
158,500,278,1246,158,157
159,497,271,1283,159,158
160,494,286,1283,160,159
161,489,291,1246,161,160
162,492,244,1094,162,161
163,467,253,974,163,162
164,458,272,955,164,163
165,466,267,946,165,164
166,461,259,969,166,165
167,460,258,912,167,166
168,458,270,917,168,167
169,461,269,965,169,168
170,455,252,923,170,169
171,453,281,828,171,170
172,468,266,931,172,171
173,466,304,919,173,172
174,445,267,780,174,173
175,429,286,743,175,174
176,434,276,748,176,175
177,423,259,714,177,176
178,412,262,615,178,177
179,407,282,592,179,178
180,410,291,609,180,179
181,407,273,621,181,180
182,407,263,642,182,181
183,423,252,653,183,182
184,436,293,686,184,183
185,453,284,899,185,184
186,470,271,1007,186,185
187,469,285,956,187,186
188,465,295,936,188,187
189,485,309,1099,189,188
190,506,322,1182,190,189
191,520,290,1341,191,190
192,513,291,1309,192,191
193,528,291,1191,193,192
194,529,290,1225,194,193
195,537,274,1269,195,194
196,542,302,1411,196,195
197,524,276,1337,197,196
198,520,286,1277,198,197
199,508,301,1222,199,198
200,495,293,1198,200,199
201,477,273,1177,201,200
202,469,286,930,202,201
203,454,294,764,203,202
204,442,295,782,204,203
205,423,294,737,205,204
206,423,290,669,206,205
207,426,286,690,207,206
208,429,289,755,208,207
209,426,283,649,209,208
210,430,294,733,210,209
211,423,291,650,211,210
212,427,278,653,212,211
213,427,268,694,213,212
214,434,291,745,214,213
215,443,290,798,215,214
216,452,292,776,216,215
217,450,289,793,217,216
218,457,297,791,218,217
219,468,311,945,219,218
220,489,279,970,220,219
221,486,256,1066,221,220
222,498,284,1062,222,221
223,501,311,1086,223,222
224,501,316,979,224,223
225,502,302,922,225,224
226,488,273,968,226,225
227,478,307,907,227,226
228,466,292,879,228,227
229,456,266,747,229,228
230,456,294,754,230,229
231,462,294,748,231,230
232,453,291,738,232,231
233,459,304,811,233,232
234,457,274,815,234,233
235,465,305,832,235,234
236,477,304,941,236,235
237,460,296,954,237,236
238,457,299,850,238,237
239,448,288,739,239,238
240,452,283,719,240,239
241,456,305,729,241,240
