 ,Mean,Min,Max,Slice,microns
1,1904,1391,2737,1,0
2,1850,1318,2500,2,1
3,1845,1337,2476,3,2
4,1848,1345,2473,4,3
5,1833,1331,2448,5,4
6,1848,1325,2660,6,5
7,1854,1384,2760,7,6
8,1859,1310,2778,8,7
9,1883,1326,2831,9,8
10,1860,1361,2900,10,9
11,1825,1329,2617,11,10
12,1830,1356,2666,12,11
13,1822,1317,2712,13,12
14,1796,1322,2557,14,13
15,1797,1235,2597,15,14
16,1818,1324,2795,16,15
17,1824,1262,2960,17,16
18,1822,1239,2747,18,17
19,1832,1246,2992,19,18
20,1833,1319,2924,20,19
21,1827,1273,2838,21,20
22,1783,1305,2671,22,21
23,1764,1251,2584,23,22
24,1794,1219,3041,24,23
25,1793,1279,3091,25,24
26,1777,1274,2989,26,25
27,1777,1255,3003,27,26
28,1777,1249,3106,28,27
29,1766,1239,3447,29,28
30,1748,1262,3109,30,29
31,1748,1277,3075,31,30
32,1712,1261,2589,32,31
33,1714,1230,2406,33,32
34,1704,1233,2873,34,33
35,1694,1253,2658,35,34
36,1692,1212,2784,36,35
37,1728,1209,2695,37,36
38,1695,1234,2626,38,37
39,1711,1182,2457,39,38
40,1715,1243,2483,40,39
41,1723,1204,2554,41,40
42,1701,1196,2385,42,41
43,1702,1241,2415,43,42
44,1705,1191,2604,44,43
45,1688,1237,2462,45,44
46,1694,1226,2448,46,45
47,1706,1242,2265,47,46
48,1697,1186,2285,48,47
49,1727,1207,2452,49,48
50,1700,1228,2368,50,49
51,1731,1238,2619,51,50
52,1754,1242,2557,52,51
53,1762,1239,2634,53,52
54,1826,1236,3149,54,53
55,1819,1199,3428,55,54
56,1830,1231,3401,56,55
57,1832,1286,3386,57,56
58,1827,1316,3029,58,57
59,1795,1258,3157,59,58
60,1832,1266,3305,60,59
61,1856,1279,3585,61,60
62,1872,1218,3512,62,61
63,1898,1304,3570,63,62
64,1907,1325,3505,64,63
65,1950,1254,4010,65,64
66,1928,1271,3873,66,65
67,1892,1296,3596,67,66
68,1867,1254,3567,68,67
69,1852,1295,3518,69,68
70,1799,1205,3252,70,69
71,1804,1247,3150,71,70
72,1771,1263,3043,72,71
73,1766,1168,2915,73,72
74,1759,1149,2965,74,73
75,1767,1225,2961,75,74
76,1763,1225,3059,76,75
77,1738,1226,2902,77,76
78,1745,1183,2647,78,77
79,1711,1273,2468,79,78
80,1732,1193,2952,80,79
81,1725,1261,2629,81,80
82,1678,1221,2363,82,81
83,1728,1249,2431,83,82
84,1730,1216,2588,84,83
85,1729,1213,2586,85,84
86,1751,1256,2686,86,85
87,1743,1250,2483,87,86
88,1737,1226,3007,88,87
89,1730,1271,2601,89,88
90,1753,1204,2549,90,89
91,1755,1239,2726,91,90
92,1757,1240,3034,92,91
93,1752,1233,2960,93,92
94,1738,1229,2658,94,93
95,1744,1260,2690,95,94
96,1719,1235,2688,96,95
97,1719,1180,3041,97,96
98,1731,1225,2738,98,97
99,1739,1234,2897,99,98
100,1725,1190,2984,100,99
101,1742,1227,2959,101,100
102,1740,1232,2943,102,101
103,1720,1203,2900,103,102
104,1706,1192,2924,104,103
105,1737,1255,2941,105,104
106,1767,1244,3271,106,105
107,1778,1221,3083,107,106
108,1767,1273,3080,108,107
109,1713,1214,3098,109,108
110,1738,1194,3144,110,109
111,1784,1229,3362,111,110
112,1791,1204,3130,112,111
113,1787,1165,3357,113,112
114,1769,1239,2973,114,113
115,1726,1146,2588,115,114
116,1717,1188,2708,116,115
117,1681,1234,2561,117,116
118,1706,1175,2664,118,117
119,1714,1272,2661,119,118
120,1721,1243,2684,120,119
121,1761,1232,2986,121,120
122,1798,1266,3238,122,121
123,1817,1221,3450,123,122
124,1765,1212,3009,124,123
125,1735,1226,2932,125,124
126,1691,1186,2456,126,125
127,1696,1260,2535,127,126
128,1694,1234,2602,128,127
129,1705,1259,2604,129,128
130,1708,1190,2737,130,129
131,1705,1184,2427,131,130
132,1676,1239,2307,132,131
133,1689,1211,2457,133,132
134,1663,1207,2351,134,133
135,1666,1254,2329,135,134
136,1669,1217,2360,136,135
137,1657,1161,2301,137,136
138,1694,1284,2571,138,137
139,1706,1147,2902,139,138
140,1738,1180,2772,140,139
141,1724,1282,2701,141,140
142,1702,1289,2480,142,141
143,1658,1192,2284,143,142
144,1686,1203,2605,144,143
145,1699,1248,2613,145,144
146,1711,1220,2670,146,145
147,1766,1244,2803,147,146
148,1773,1255,3012,148,147
149,1790,1214,3000,149,148
150,1795,1206,3142,150,149
151,1809,1234,3214,151,150
152,1783,1256,3073,152,151
153,1749,1235,2782,153,152
154,1729,1234,2675,154,153
155,1698,1263,2555,155,154
156,1708,1227,2555,156,155
157,1698,1222,2469,157,156
158,1684,1198,2419,158,157
159,1719,1178,2717,159,158
160,1769,1237,3077,160,159
161,1771,1221,3075,161,160
162,1772,1239,3056,162,161
163,1770,1267,3260,163,162
164,1793,1225,3379,164,163
165,1814,1222,3333,165,164
166,1798,1256,3390,166,165
167,1819,1205,3426,167,166
168,1814,1286,3446,168,167
169,1828,1258,3430,169,168
170,1839,1227,3606,170,169
171,1799,1231,3455,171,170
172,1828,1256,3404,172,171
173,1824,1245,3226,173,172
174,1790,1174,2995,174,173
175,1755,1251,2703,175,174
176,1760,1170,2946,176,175
177,1759,1256,2662,177,176
178,1790,1253,2724,178,177
179,1820,1310,2959,179,178
180,1859,1239,3232,180,179
181,1862,1349,3088,181,180
182,1841,1301,3093,182,181
183,1813,1346,2733,183,182
184,1789,1277,2659,184,183
185,1811,1305,3146,185,184
186,1797,1294,2717,186,185
187,1790,1283,2620,187,186
188,1762,1274,2954,188,187
