 ,Mean,Min,Max,Ch,Frame
1,2316,1869,3973,1,1
2,2461,1730,4827,1,2
3,2568,1820,5787,1,3
4,2531,1887,5630,1,4
5,2488,1915,5178,1,5
6,2460,1842,4846,1,6
7,2448,1805,4669,1,7
8,2426,1754,4958,1,8
9,2406,1762,4709,1,9
10,2483,1857,5010,1,10
11,2488,1743,5335,1,11
12,2463,1781,5197,1,12
13,2460,1797,6039,1,13
14,2517,1784,6000,1,14
15,2642,1832,6448,1,15
16,2551,1802,5992,1,16
17,2509,1815,6103,1,17
18,2392,1787,4991,1,18
19,2402,1688,4401,1,19
20,2350,1789,4332,1,20
21,2425,1690,5248,1,21
22,2465,1787,5411,1,22
23,2425,1693,4708,1,23
24,2400,1761,4839,1,24
25,2455,1758,5096,1,25
26,2557,1809,6070,1,26
27,2532,1767,5819,1,27
28,2415,1746,5066,1,28
29,2379,1754,4797,1,29
30,2427,1803,4878,1,30
31,2424,1789,4754,1,31
32,2452,1708,4889,1,32
33,2467,1784,5451,1,33
34,2453,1788,5225,1,34
35,2505,1826,5467,1,35
36,2554,1754,5558,1,36
37,2575,1742,5338,1,37
38,2519,1836,4976,1,38
39,2515,1748,5029,1,39
40,2489,1777,5149,1,40
41,2431,1676,4915,1,41
42,2495,1837,5290,1,42
43,2476,1776,4899,1,43
44,2436,1787,4681,1,44
45,2458,1752,5006,1,45
46,2501,1751,4900,1,46
47,2496,1764,4971,1,47
48,2543,1759,4862,1,48
49,2484,1689,4776,1,49
50,2460,1828,4894,1,50
51,2462,1720,4746,1,51
52,2496,1870,4831,1,52
53,2441,1703,4970,1,53
54,2443,1792,4549,1,54
55,2398,1718,4231,1,55
56,2427,1711,4431,1,56
57,2531,1803,4576,1,57
58,2597,1843,5141,1,58
59,2555,1797,5024,1,59
60,2538,1746,4383,1,60
61,2484,1762,4480,1,61
62,2494,1808,4209,1,62
63,2485,1797,3952,1,63
64,2507,1758,4090,1,64
65,2524,1876,4174,1,65
66,2538,1865,4400,1,66
67,2499,1775,3767,1,67
68,2478,1853,3839,1,68
69,2426,1738,3917,1,69
70,2416,1827,3810,1,70
71,2434,1887,3791,1,71
72,2490,1827,4069,1,72
73,2490,1798,4176,1,73
74,2550,1822,4569,1,74
75,2505,1797,4088,1,75
76,2418,1812,4014,1,76
77,2398,1761,3841,1,77
78,2408,1710,3978,1,78
79,2476,1767,4327,1,79
80,2498,1721,4249,1,80
81,2500,1732,4280,1,81
