 ,Mean,Min,Max,Slice,microns
1,1520,1136,1945,1,0
2,1552,1161,2119,2,1
3,1557,1162,2045,3,2
4,1533,1150,1954,4,3
5,1560,1168,2068,5,4
6,1587,1096,2093,6,5
7,1645,1125,2256,7,6
8,1688,1193,2465,8,7
9,1601,1152,2291,9,8
10,1560,1169,2088,10,9
11,1465,1146,1885,11,10
12,1533,1135,1994,12,11
13,1514,1123,2026,13,12
14,1650,1123,2133,14,13
15,1666,1137,2520,15,14
16,1737,1202,2604,16,15
17,1688,1207,2458,17,16
18,1618,1148,2275,18,17
19,1534,1170,1992,19,18
20,1488,1137,1946,20,19
21,1554,1129,2008,21,20
22,1483,1131,1922,22,21
23,1475,1090,1959,23,22
24,1560,1142,2253,24,23
25,1537,1134,2185,25,24
26,1611,1143,2262,26,25
27,1588,1190,2347,27,26
28,1520,1050,2409,28,27
29,1611,1149,2388,29,28
30,1639,1133,2627,30,29
31,1524,1088,1965,31,30
32,1512,1134,1927,32,31
33,1441,1070,1876,33,32
34,1502,1120,1948,34,33
35,1584,1107,2210,35,34
36,1607,1104,2434,36,35
37,1466,1111,1943,37,36
38,1480,971,1880,38,37
39,1464,1100,1889,39,38
40,1588,1157,2482,40,39
41,1669,1138,2631,41,40
42,1702,1169,2925,42,41
43,1690,1088,2492,43,42
44,1600,1192,2057,44,43
45,1545,1115,2140,45,44
46,1547,1176,2282,46,45
47,1538,1190,2141,47,46
48,1522,1097,1952,48,47
49,1632,1164,2569,49,48
50,1780,1197,2961,50,49
51,1753,1182,3160,51,50
52,1626,1110,2323,52,51
53,1612,1133,2443,53,52
54,1611,1159,2257,54,53
55,1678,1177,2465,55,54
56,1641,1185,2405,56,55
57,1575,1133,2102,57,56
58,1571,1151,2296,58,57
59,1600,1153,2295,59,58
60,1658,1214,2517,60,59
61,1602,1145,2320,61,60
62,1570,1163,2224,62,61
63,1524,1083,2186,63,62
64,1533,1184,2071,64,63
65,1493,1154,1927,65,64
66,1529,1079,1936,66,65
67,1526,1159,1947,67,66
68,1582,1158,2165,68,67
69,1553,1144,2228,69,68
70,1650,1149,2397,70,69
71,1690,1222,2616,71,70
72,1529,1124,1873,72,71
73,1556,1217,1965,73,72
74,1549,1140,2234,74,73
75,1543,1197,2030,75,74
76,1508,1149,1957,76,75
77,1545,1170,1962,77,76
78,1584,1170,2362,78,77
79,1634,1198,2393,79,78
80,1571,1216,2034,80,79
81,1469,1158,1790,81,80
