 ,Mean,Min,Max,Slice,microns
1,1832,1388,2149,1,0
2,1731,1332,2189,2,1
3,1709,1326,2061,3,2
4,1779,1280,2182,4,3
5,1829,1344,2847,5,4
6,1938,1468,2802,6,5
7,1888,1398,2592,7,6
8,1846,1421,2190,8,7
9,1794,1334,2185,9,8
10,1762,1365,2111,10,9
11,1764,1314,2131,11,10
12,1817,1280,2157,12,11
13,1822,1404,2213,13,12
14,1855,1398,2380,14,13
15,1779,1355,2243,15,14
16,1901,1484,2277,16,15
17,1906,1507,2365,17,16
18,1842,1297,2574,18,17
19,1884,1509,2609,19,18
20,1727,1331,2135,20,19
21,1746,1278,2224,21,20
22,1743,1313,2094,22,21
23,1759,1283,2344,23,22
24,1759,1293,2546,24,23
25,1752,1251,2532,25,24
26,1768,1278,2202,26,25
27,1705,1241,2220,27,26
28,1703,1171,2541,28,27
29,1735,1308,2926,29,28
30,1672,1257,2566,30,29
31,1641,1265,1978,31,30
32,1647,1227,2048,32,31
33,1600,1201,1998,33,32
34,1756,1308,2824,34,33
35,1676,1269,2439,35,34
36,1793,1275,3212,36,35
37,1802,1241,3468,37,36
38,1795,1278,3219,38,37
39,1719,1250,2880,39,38
40,1678,1145,2677,40,39
41,1739,1206,3105,41,40
42,1847,1292,3680,42,41
43,1795,1220,3350,43,42
44,1823,1287,3537,44,43
45,1890,1271,3651,45,44
46,1848,1226,3614,46,45
47,1819,1265,3416,47,46
48,1683,1227,2690,48,47
49,1637,1192,2172,49,48
50,1592,1235,2127,50,49
51,1700,1219,2552,51,50
52,1701,1224,2930,52,51
53,1825,1219,3474,53,52
54,1894,1248,3549,54,53
55,1909,1301,3546,55,54
56,1839,1328,2899,56,55
57,1774,1307,2942,57,56
58,1765,1264,2467,58,57
59,1767,1182,3114,59,58
60,1728,1198,3103,60,59
61,1801,1287,3305,61,60
62,1806,1255,3315,62,61
63,1738,1197,3143,63,62
64,1649,1204,2256,64,63
65,1663,1253,2427,65,64
66,1603,1228,2280,66,65
67,1603,1248,2313,67,66
68,1730,1210,2952,68,67
69,1728,1245,3037,69,68
70,1802,1233,3200,70,69
71,1752,1231,2965,71,70
72,1826,1177,3628,72,71
73,1892,1233,3739,73,72
74,1744,1226,3256,74,73
75,1696,1202,2900,75,74
76,1693,1264,2530,76,75
77,1687,1257,2667,77,76
78,1648,1247,2416,78,77
79,1753,1240,2849,79,78
80,1778,1221,3156,80,79
81,1902,1319,3750,81,80
