 ,Mean,Min,Max,Ch,Frame
1,2866,1958,4542,1,1
2,2957,2040,4728,1,2
3,2813,1934,4682,1,3
4,2698,1936,3919,1,4
5,2686,1954,3679,1,5
6,2845,1986,4539,1,6
7,2722,1905,4133,1,7
8,2789,1938,4310,1,8
9,2928,1980,5556,1,9
10,2757,1914,4514,1,10
11,2583,1797,4209,1,11
12,2787,1948,4818,1,12
13,2853,1800,5239,1,13
14,2883,1970,5628,1,14
15,2788,1898,5492,1,15
16,2969,1974,6023,1,16
17,2868,1744,6028,1,17
18,2830,1912,6226,1,18
19,2882,1984,6389,1,19
20,2907,1958,5936,1,20
21,2997,1965,7143,1,21
22,3052,1943,8013,1,22
23,2900,1952,6506,1,23
24,2836,1964,5810,1,24
25,2728,1818,4773,1,25
26,2845,1854,5207,1,26
27,2762,1830,6032,1,27
28,2740,1890,5593,1,28
29,2627,1824,4134,1,29
30,2574,1855,4419,1,30
31,2712,1885,4647,1,31
32,2873,1877,5758,1,32
33,2848,1895,6183,1,33
34,2769,1888,6202,1,34
35,2673,1799,5199,1,35
36,2852,2002,5587,1,36
37,2790,1846,6473,1,37
38,2756,1883,5946,1,38
39,2720,1903,6249,1,39
40,2625,1830,5354,1,40
41,2629,1731,5286,1,41
42,2624,1847,5144,1,42
43,2548,1740,4759,1,43
44,2522,1722,4066,1,44
45,2577,1834,4703,1,45
46,2577,1728,5421,1,46
47,2715,1859,5845,1,47
48,2537,1820,4767,1,48
49,2511,1799,4813,1,49
50,2572,1851,5469,1,50
51,2515,1825,4508,1,51
52,2344,1661,3902,1,52
53,2434,1839,4206,1,53
54,2480,1854,4981,1,54
55,2422,1817,4278,1,55
56,2587,1770,5492,1,56
57,2674,1857,6132,1,57
58,2561,1779,5105,1,58
59,2359,1812,3381,1,59
60,2282,1690,3153,1,60
61,2380,1747,3825,1,61
62,2451,1821,4344,1,62
63,2483,1739,4573,1,63
64,2528,1799,4684,1,64
65,2350,1711,3866,1,65
66,2291,1674,3474,1,66
67,2308,1691,3708,1,67
68,2489,1827,4227,1,68
69,2512,1849,4367,1,69
70,2482,1781,4359,1,70
71,2457,1792,4116,1,71
72,2416,1741,4099,1,72
73,2414,1718,3874,1,73
74,2449,1800,3813,1,74
75,2491,1822,4321,1,75
76,2584,1902,4660,1,76
77,2432,1841,4086,1,77
78,2264,1782,3334,1,78
79,2246,1766,2675,1,79
80,2247,1739,2981,1,80
81,2403,1814,3784,1,81
