 ,Mean,Min,Max,Ch,Frame
1,2422,1894,3913,1,1
2,2493,1772,4567,1,2
3,2638,1948,5324,1,3
4,2636,1914,5477,1,4
5,2592,1850,4938,1,5
6,2650,1837,5521,1,6
7,2682,1808,5322,1,7
8,2598,1805,4714,1,8
9,2543,1849,4641,1,9
10,2562,1771,4404,1,10
11,2643,1826,5726,1,11
12,2566,1846,5386,1,12
13,2454,1822,4614,1,13
14,2386,1686,3621,1,14
15,2489,1828,3893,1,15
16,2549,1836,5098,1,16
17,2618,1720,5054,1,17
18,2623,1807,6121,1,18
19,2703,1835,6419,1,19
20,2778,1822,6119,1,20
21,2627,1841,5507,1,21
22,2544,1790,5136,1,22
23,2511,1730,5058,1,23
24,2529,1840,5218,1,24
25,2538,1749,5025,1,25
26,2536,1767,5072,1,26
27,2606,1797,5314,1,27
28,2662,1816,6264,1,28
29,2731,1775,6442,1,29
30,2783,1897,6591,1,30
31,2645,1830,5844,1,31
32,2623,1837,5514,1,32
33,2672,1837,6213,1,33
34,2644,1810,5655,1,34
35,2637,1827,5712,1,35
36,2550,1792,4691,1,36
37,2648,1897,5693,1,37
38,2628,1873,5527,1,38
39,2624,1845,5132,1,39
40,2670,1834,5148,1,40
41,2706,1862,5966,1,41
42,2749,1883,6217,1,42
43,2785,1786,6460,1,43
44,2795,1859,6503,1,44
45,2747,1752,5718,1,45
46,2798,1851,5829,1,46
47,2810,1912,5912,1,47
48,2838,1984,6112,1,48
49,2746,1928,5467,1,49
50,2730,1910,5459,1,50
51,2641,1832,5105,1,51
52,2617,1871,4437,1,52
53,2591,1830,4321,1,53
54,2640,1762,4523,1,54
55,2604,1883,4468,1,55
56,2648,1907,4741,1,56
57,2693,1954,5073,1,57
58,2620,1849,4635,1,58
59,2732,2021,5048,1,59
60,2735,2006,4914,1,60
61,2677,1933,4614,1,61
62,2639,1881,4614,1,62
63,2596,1894,4418,1,63
64,2596,1948,4318,1,64
65,2535,1915,4377,1,65
66,2552,1895,4301,1,66
67,2519,1931,3750,1,67
68,2595,1936,4127,1,68
69,2693,1925,4626,1,69
70,2638,1920,4408,1,70
71,2519,1801,3941,1,71
72,2454,1902,3712,1,72
73,2450,1867,3589,1,73
74,2425,1909,3272,1,74
75,2446,1928,3670,1,75
76,2447,1888,3646,1,76
77,2464,1929,3812,1,77
78,2497,1938,3833,1,78
79,2548,1937,4053,1,79
80,2584,1914,4464,1,80
81,2572,1999,4504,1,81
