 ,Mean,Min,Max,Ch,Frame
1,2676,2156,3566,1,1
2,2668,1974,3584,1,2
3,2699,2134,3589,1,3
4,2707,2039,3688,1,4
5,2417,1960,3039,1,5
6,2458,1984,3132,1,6
7,2724,2033,3691,1,7
8,2767,1990,3929,1,8
9,2831,1992,4377,1,9
10,2789,2061,4473,1,10
11,2878,2121,5062,1,11
12,2649,2055,4234,1,12
13,2541,2039,3795,1,13
14,2489,1961,3648,1,14
15,2615,2014,4074,1,15
16,2584,2061,3814,1,16
17,2720,2068,4369,1,17
18,2835,2019,5119,1,18
19,2660,1910,5084,1,19
20,2620,2007,3904,1,20
21,2460,1860,3537,1,21
22,2403,1921,3141,1,22
23,2455,1919,3197,1,23
24,2662,2035,4244,1,24
25,2714,2059,4715,1,25
26,2624,1887,4310,1,26
27,2660,2011,4569,1,27
28,2824,2121,5462,1,28
29,2829,2059,6433,1,29
30,2691,1969,4943,1,30
31,2590,2009,4642,1,31
32,2628,1955,4509,1,32
33,2620,1985,3817,1,33
34,2560,2042,3686,1,34
35,2614,1895,4351,1,35
36,2705,1932,5104,1,36
37,2563,1930,4623,1,37
38,2613,1841,4716,1,38
39,2710,1967,5191,1,39
40,2802,1986,5385,1,40
41,2727,1998,4422,1,41
42,2662,1967,5016,1,42
43,2693,1910,4752,1,43
44,2678,1969,4787,1,44
45,2712,1933,5238,1,45
46,2727,1984,5321,1,46
47,2777,2098,6041,1,47
48,2800,1989,6112,1,48
49,2800,1987,5378,1,49
50,2774,1910,5407,1,50
51,2720,1916,5384,1,51
52,2683,1958,4848,1,52
53,2563,1989,5087,1,53
54,2540,1948,4522,1,54
55,2486,1963,4491,1,55
56,2517,1921,3974,1,56
57,2649,1910,5225,1,57
58,2571,1926,4808,1,58
59,2526,1894,4477,1,59
60,2472,1924,3849,1,60
61,2458,1784,4322,1,61
62,2584,1961,4788,1,62
63,2672,1932,5368,1,63
64,2667,1936,5863,1,64
65,2556,1812,5257,1,65
66,2424,1868,4275,1,66
67,2390,1755,3870,1,67
68,2442,1872,4195,1,68
69,2610,1810,4815,1,69
70,2638,1963,5248,1,70
71,2601,1865,5164,1,71
72,2629,1744,5142,1,72
73,2733,2026,5173,1,73
74,2608,1924,5227,1,74
75,2536,1957,4559,1,75
76,2572,2001,4829,1,76
77,2709,1997,5984,1,77
78,2597,1945,5241,1,78
79,2592,2016,5451,1,79
80,2543,2003,4853,1,80
81,2502,1953,4357,1,81
