Cell,Movie,Bud Number,Length,Width,NA,EffectiveDiameter,EffectiveRadius,SA
1,1,5,14.5,7.5,815.625,9.343225764,4.671612882,91.41594165
2,1,2,8,6.5,338,6.965819768,3.482909884,50.81275214
3,1,6,12,8,768,9.15771394,4.57885697,87.82181287
4,1,4,12.5,7,612.5,8.492496261,4.246248131,75.526434
5,1,4,14.5,8.5,1047.625,10.15629448,5.078147239,108.0186687
6,1,8,16.5,9.5,1489.125,11.41941137,5.709705686,136.557541
7,1,4,12.5,8,800,9.283177667,4.641588834,90.24467304
8,1,6,14,9.5,1263.5,10.8108145,5.405407249,122.3897597
9,1,5,19,9.5,1714.75,11.96924997,5.984624987,150.0244784
10,1,5,13.5,8.5,975.375,9.917233528,4.958616764,102.9933848
11,1,5,19,7.5,1068.75,10.22410676,5.112053382,109.465938
12,1,5,13.5,7.5,759.375,9.123302993,4.561651497,87.16305589
13,1,6,15,9.5,1353.75,11.06231846,5.531159228,128.1505765
14,1,3,10,5,250,6.299605249,3.149802625,41.55802726
15,1,9,21,8,1344,11.03569671,5.517848353,127.5345234
16,1,2,11.5,7.5,646.875,8.64848671,4.324243355,78.32645947
17,1,4,10,7.5,562.5,8.254818122,4.127409061,71.35809854
18,1,4,12,8,768,9.15771394,4.57885697,87.82181287
19,1,2,8,5,200,5.848035476,2.924017738,35.81362223
20,1,8,22,7,1078,10.25351852,5.126759261,110.0966467
21,1,4,10,7,490,7.883735163,3.941867582,65.08670777
22,1,3,11,6.5,464.75,7.745922239,3.87296112,62.83107883
23,1,4,12,6.5,507,7.973873099,3.98693655,66.58354145
24,1,3,10,7,490,7.883735163,3.941867582,65.08670777
25,1,5,11,7,539,8.138223044,4.069111522,69.35654138
26,1,5,10.5,7,514.5,8.012999698,4.006499849,67.23857548
27,1,9,21,9,1701,11.93717162,5.968585812,149.2214057
