 ,Mean,Min,Max,Slice,microns
1,816,0,2325,1,0
2,968,0,2368,2,1
3,987,0,3777,3,2
4,936,0,2927,4,3
5,957,0,3202,5,4
6,1041,0,2861,6,5
7,911,0,2470,7,6
8,947,0,2741,8,7
9,1001,0,3177,9,8
10,1027,0,3583,10,9
11,1074,0,2978,11,10
12,1031,0,3573,12,11
13,1030,0,3542,13,12
14,990,0,2338,14,13
15,1151,0,3026,15,14
16,939,0,3473,16,15
17,1013,0,3777,17,16
18,990,0,3623,18,17
19,1058,0,4154,19,18
20,1074,0,3289,20,19
21,890,0,2500,21,20
22,950,0,3528,22,21
23,1173,0,3843,23,22
24,1045,0,4434,24,23
25,1030,0,3558,25,24
26,1009,0,3612,26,25
27,1069,0,2708,27,26
28,889,0,2327,28,27
29,939,0,3484,29,28
30,1078,0,4023,30,29
31,1097,0,4691,31,30
32,1172,0,4085,32,31
33,1007,0,3514,33,32
34,920,0,2855,34,33
35,969,0,2897,35,34
36,910,0,2834,36,35
37,924,0,2806,37,36
38,872,0,3207,38,37
39,988,0,2868,39,38
40,1177,0,3685,40,39
