 ,Mean,Min,Max,Ch,Frame
1,557,0,3522,2,1
2,746,0,4153,2,2
3,620,0,4057,2,3
4,750,0,5043,2,4
5,653,0,5099,2,5
6,727,0,5163,2,6
7,729,0,3879,2,7
8,677,0,5105,2,8
9,734,0,5606,2,9
10,819,0,7680,2,10
11,858,0,6816,2,11
12,745,0,3646,2,12
13,709,0,3498,2,13
14,747,0,3769,2,14
15,646,0,3168,2,15
16,664,0,3937,2,16
17,738,0,5570,2,17
18,785,0,5562,2,18
19,825,0,3901,2,19
20,696,0,3550,2,20
21,703,0,2841,2,21
22,707,0,3420,2,22
23,783,0,5147,2,23
24,763,0,6429,2,24
25,777,0,4471,2,25
26,660,0,4011,2,26
27,746,0,3880,2,27
28,695,0,3583,2,28
29,773,0,4544,2,29
30,733,0,4043,2,30
31,749,0,3821,2,31
32,750,0,4337,2,32
33,739,0,3765,2,33
34,790,0,4103,2,34
35,743,0,3873,2,35
36,842,0,4525,2,36
37,822,0,4292,2,37
38,820,0,4837,2,38
39,832,0,4794,2,39
40,866,0,4778,2,40
